OBSNUM	XVAL	PROB_AVG	AREA1	AREACORR	AREATOT	PERCENT
135	0.675	0.0201946057949786	0.000100973028974893	0.000102222045072388	0.00508692082044119	1.6875
136	0.68	0.0204448348662838	0.000102224174331419	0.000103477448946975	0.00519039826938817	1.7
137	0.685	0.0206959099590349	0.000103479549795174	0.000104737026107129	0.0052951352954953	1.7125
138	0.69	0.0209478197415533	0.000104739098707766	0.000106000720220996	0.00540113601571629	1.725
139	0.695	0.0212005529473233	0.000106002764736617	0.000107268475281088	0.00550840449099738	1.7375
140	0.7	0.021454098374703	0.000107270491873515	0.000108540235602841	0.00561694472660022	1.75
141	0.705	0.0217084448866357	0.000108542224433178	0.000109815945823179	0.0057267606724234	1.7625
142	0.71	0.0219635814103629	0.000109817907051815	0.000111095550899086	0.00583785622332249	1.775
143	0.715	0.0222194969371387	0.000111097484685693	0.000112378996106179	0.00595023521942867	1.7875
144	0.72	0.0224761805219443	0.000112380902609722	0.000113666227037292	0.00606390144646596	1.8
145	0.725	0.022733621283205	0.000113668106416025	0.00011495718960106	0.00617885863606702	1.8125
146	0.73	0.0229918084025066	0.000114959042012533	0.000116251830020514	0.00629511046608753	1.825
147	0.735	0.0232507311243148	0.000116253655621574	0.000117550094831675	0.00641266056091921	1.8375
148	0.74	0.0235103787556942	0.000117551893778471	0.000118851930882164	0.00653151249180137	1.85
149	0.745	0.023770740666029	0.000118853703330145	0.0001201572853298	0.00665166977713117	1.8625
150	0.75	0.0240318062867448	0.000120159031433724	0.000121466105641227	0.0067731358827724	1.875
151	0.755	0.0242935651110315	0.000121467825555158	0.000122778339590522	0.00689591422236292	1.8875
152	0.76	0.024556006693567	0.000122780033467835	0.000124093935257826	0.00702000815762075	1.9
153	0.765	0.0248191206502422	0.000124095603251211	0.000125412841027973	0.00714542099864872	1.9125
154	0.77	0.0250828966578873	0.000125414483289437	0.000126735005589126	0.00727215600423785	1.925
155	0.775	0.0253473244539986	0.000126736622269993	0.000128060377931417	0.00740021638216926	1.9375
156	0.78	0.0256123938364669	0.000128061969182334	0.000129388907345593	0.00752960528951486	1.95
157	0.785	0.0258780946633064	0.000129390473316532	0.000130720543421669	0.00766032583293653	1.9625
158	0.79	0.0261444168523856	0.000130722084261928	0.000132055236047583	0.00779238106898411	1.975
159	0.795	0.0264113503811582	0.000132056751905791	0.000133392935407861	0.00792577400439197	1.9875
160	0.8	0.0266788852863954	0.000133394426431977	0.000134733591982279	0.00806050759637425	2
161	0.805	0.0269470116639198	0.000134735058319599	0.000136077156544541	0.00819658475291879	2.0125
162	0.81	0.0272157196683397	0.000136078598341698	0.000137423580160955	0.00833400833307974	2.025
163	0.815	0.0274849995127844	0.000137424997563922	0.000138772814189113	0.00847278114726886	2.0375
164	0.82	0.0277548414686411	0.000138774207343206	0.000140124810276583	0.00861290595754544	2.05
165	0.825	0.0280252358652925	0.000140126179326463	0.000141479520359599	0.00875438547790504	2.0625
166	0.83	0.0282961730898551	0.000141480865449275	0.000142836896661764	0.0088972223745668	2.075
167	0.835	0.028567643586919	0.000142838217934595	0.000144196891692746	0.00904141926625955	2.0875
168	0.84	0.0288396378582891	0.000144198189291445	0.000145559458246995	0.00918697872450654	2.1
169	0.845	0.0291121464627258	0.000145560732313629	0.000146924549402447	0.00933390327390899	2.1125
170	0.85	0.0293851600156887	0.000146925800078443	0.000148292118519253	0.00948219539242824	2.125
171	0.855	0.0296586691890794	0.000148293345945397	0.000149662119238495	0.00963185751166674	2.1375
172	0.86	0.0299326647109873	0.000149663323554936	0.000151034505480917	0.00978289201714766	2.15
173	0.865	0.0302071373654341	0.000151035686827171	0.000152409231445659	0.00993530124859331	2.1625
174	0.87	0.0304820779921216	0.000152410389960608	0.000153786251608995	0.0100890875002023	2.175
175	0.875	0.0307574774861787	0.000153787387430894	0.000155165520723078	0.0102442530209254	2.1875
176	0.88	0.0310333267979106	0.000155166633989553	0.000156546993814687	0.0104008000147401	2.2
177	0.885	0.0313096169325481	0.000156548084662741	0.000157930626183981	0.0105587306409241	2.2125
178	0.89	0.0315863389499986	0.000157931694749993	0.000159316373403257	0.0107180470143273	2.225
179	0.895	0.0318634839645975	0.000159317419822988	0.000160704191315713	0.010878751205643	2.2375
180	0.9	0.0321410431448612	0.000160705215724306	0.000162094036034217	0.0110408452416772	2.25
181	0.905	0.0324190077132402	0.000162095038566201	0.00016348586394008	0.0112043311056173	2.2625
182	0.91	0.0326973689458743	0.000163486844729372	0.000164879631681833	0.0113692107372992	2.275
183	0.915	0.0329761181723477	0.000164880590861738	0.00016627529617401	0.0115354860334732	2.2875
184	0.92	0.0332552467754456	0.000166276233877228	0.000167672814595936	0.0117031588480691	2.3
185	0.925	0.033534746190912	0.00016767373095456	0.000169072144390516	0.0118722309924596	2.3125
186	0.93	0.0338146079072076	0.000169073039536038	0.000170473243263037	0.0120427042357227	2.325
187	0.935	0.0340948234652695	0.000170474117326348	0.000171876069179968	0.0122145803049026	2.3375
188	0.94	0.0343753844582719	0.000171876922291359	0.000173280580367762	0.0123878608852704	2.35
189	0.945	0.0346562825313864	0.000173281412656932	0.000174686735311675	0.0125625476205821	2.3625
190	0.95	0.0349375093815454	0.000174687546907727	0.000176094492754574	0.0127386421133366	2.375
191	0.955	0.0352190567572042	0.000176095283786021	0.000177503811695763	0.0129161459250324	2.3875
192	0.96	0.0355009164581061	0.00017750458229053	0.000178914651389807	0.0130950605764222	2.4
193	0.965	0.0357830803350464	0.000178915401675232	0.00018032697134536	0.0132753875477676	2.4125
194	0.97	0.0360655402896395	0.000180327701448197	0.000181740731324	0.0134571282790916	2.425
195	0.975	0.0363482882740846	0.000181741441370423	0.000183155891339071	0.0136402841704306	2.4375
196	0.98	0.0366313162909345	0.000183156581454672	0.000184572411654523	0.0138248565820852	2.45
197	0.985	0.0369146163928638	0.000184573081964319	0.000185990252783762	0.0140108468348689	2.4625
198	0.99	0.0371981806824388	0.000185990903412194	0.000187409375488501	0.0141982562103574	2.475
199	0.995	0.0374820013118878	0.000187410006559439	0.000188829740777622	0.014387085951135	2.4875
200	1	0.0377660704828729	0.000188830352414364	0.000190251309906032	0.0145773372610411	2.5
201	1.005	0.0380503804462619	0.000190251902231309	0.000191674044373532	0.0147690113054146	2.5125
202	1.01	0.0383349235019022	0.000191674617509511	0.000193097905923691	0.0149621092113383	2.525
203	1.015	0.0386196919983946	0.000193098459991973	0.000194522856542716	0.015156632067881	2.5375
204	1.02	0.0389046783328683	0.000194523391664341	0.000195948858458335	0.0153525809263394	2.55
205	1.025	0.039189874950757	0.000195949374753785	0.000197375874138679	0.015549956800478	2.5625
206	1.03	0.039475274345576	0.00019737637172788	0.000198803866291175	0.0157487606667692	2.575
207	1.035	0.0397608690586994	0.000198804345293497	0.000200232797861435	0.0159489934646306	2.5875
208	1.04	0.0400466516791392	0.000200233258395696	0.000201662632032156	0.0161506560966628	2.6
209	1.045	0.0403326148433246	0.000201663074216623	0.000203093332222018	0.0163537494288848	2.6125
210	1.05	0.0406187512348825	0.000203093756174412	0.000204524862084596	0.0165582742909694	2.625
211	1.055	0.0409050535844184	0.000204525267922092	0.000205957185507268	0.0167642314764767	2.6375
212	1.06	0.0411915146692993	0.000205957573346496	0.000207390266610129	0.0169716217430868	2.65
213	1.065	0.0414781273134356	0.000207390636567178	0.000208824069744909	0.0171804458128317	2.6625
214	1.07	0.0417648843870661	0.00020882442193533	0.000210258559493904	0.0173907043723256	2.675
215	1.075	0.0420517788065418	0.000210258894032709	0.000211693700668893	0.0176023980729945	2.6875
216	1.08	0.042338803534112	0.00021169401767056	0.000213129458310079	0.0178155275313046	2.7
217	1.085	0.0426259515777106	0.000213129757888553	0.000214565797685021	0.0180300933289896	2.7125
218	1.09	0.0429132159907435	0.000214566079953717	0.000216002684287578	0.0182460960132772	2.725
219	1.095	0.0432005898718762	0.000216002949359381	0.000217440083836848	0.018463536097114	2.7375
220	1.1	0.0434880663648236	0.000217440331824118	0.000218877962276125	0.0186824140593902	2.75
221	1.105	0.0437756386581392	0.000218878193290696	0.000220316285771846	0.018902730345162	2.7625
222	1.11	0.0440632999850061	0.000220316499925031	0.00022175502071255	0.0191244853658746	2.775
223	1.115	0.0443510436230282	0.000221755218115141	0.000223194133707842	0.0193476794995824	2.7875
224	1.12	0.0446388628940227	0.000223194314470114	0.000224633591587357	0.0195723130911698	2.8
225	1.125	0.0449267511638134	0.000224633755819067	0.00022607336139973	0.0197983864525695	2.8125
226	1.13	0.0452147018420243	0.000226073509210122	0.000227513410411568	0.0200258998629811	2.825
227	1.135	0.0455027083818749	0.000227513541909374	0.000228953706106434	0.0202548535690875	2.8375
